Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Covert-Bratland K.A., Block W.M., Theimer T.C.","15135092600;7102483717;6603928649;","Hairy woodpecker winter ecology in ponderosa pine forests representing different ages since wildfire",2006,"Journal of Wildlife Management","70","5",,"1379","1392",,35,"10.2193/0022-541X(2006)70[1379:HWWEIP]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845459390&doi=10.2193%2f0022-541X%282006%2970%5b1379%3aHWWEIP%5d2.0.CO%3b2&partnerID=40&md5=da057a4027ee694e95145e7aa5004a11","United States Forest Service, Rocky Mountain Research Station, Flagstaff, AZ 86001, United States; Department of Biology, Northern Arizona University, Flagstaff, AZ 86011, United States","Covert-Bratland, K.A., United States Forest Service, Rocky Mountain Research Station, Flagstaff, AZ 86001, United States; Block, W.M., United States Forest Service, Rocky Mountain Research Station, Flagstaff, AZ 86001, United States; Theimer, T.C., Department of Biology, Northern Arizona University, Flagstaff, AZ 86011, United States","We investigated how changes in vegetation structure and prey resources following wildfire affected the winter ecology of hairy woodpeckers (Picoides villosus) in ponderosa pine (Pinus ponderosa) forests of northern Arizona, USA. Using point-counts, radiotelemetry, and focal bird observation, we assessed the relative abundance, home range size and composition, and habitat use by foraging hairy woodpeckers in 3 stands that had experienced wildfire in 1996, 2000, or 2002. Because we conducted the study over 2 years, we used the 1996 fire to represent 6 and 7 years after fire, while we used the 2000 fire to represent 2 and 3 years after fire in a space-for-time substitution chronosequence analysis. We also assessed bark beetle and woodborer density by x-raying bark samples collected from a subset of trees within burned areas. We detected significantly greater hairy woodpecker relative abundance in burned forests representing 1 and 2 years after fire, and bark beetle and woodborer density was highest in these stands as well. Woodpecker home range size increased across stands representing increasing time since fire. Within a burn, hairy woodpeckers used high-severity burned areas more than moderate-severity burned areas representing 2 and 3 years after fire, but not m areas representing 6 and 7 years after fire. Bark beetle and woodborer densities were also higher in high-severity burned stands representing 2 and 3 years after fire. Hairy woodpeckers used edges of high-severity burned areas more than the interior. We hypothesize that an initial increase in bark beetle and woodborer density following fire allowed for higher woodpecker abundance and smaller home ranges, but as burned forests aged, bark beetle and woodborer density within trees decreased, killed trees fell, and, in response, hairy woodpecker relative abundance decreased and home range size increased. These patterns suggest that high-severity burned areas provide important but ephemeral resources to this dominant primary cavity-nester. The higher bark beetle and woodborer densities and greater use of edges of high-severity burned areas by woodpeckers suggests that salvage logging of these areas could remove potential prey and preferred foraging areas for hairy woodpeckers, especially when trees are removed along severely burned edges.","Arizona; Foraging behavior; Hairy woodpecker; Home range; Picoides villosus; Pinus ponderosa; Ponderosa pine; Prey resources; Wildfire; Winter ecology",Article,"Final",,Scopus,2-s2.0-33845459390
"Vierling K., Lentile L.","6602257928;12808099100;","Red-headed Woodpecker nest-site selection and reproduction in mixed ponderosa pine and aspen woodland following fire",2006,"Condor","108","4",,"957","962",,13,"10.1650/0010-5422(2006)108[957:RWNSAR]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845222707&doi=10.1650%2f0010-5422%282006%29108%5b957%3aRWNSAR%5d2.0.CO%3b2&partnerID=40&md5=9b586839bc5aecb650a5daf9c56b55df","Department of Fish and Wildlife, University of Idaho, P.O. Box 441136, Moscow, ID 83844-1136, United States; Department of Forest Resources, University of Idaho, P.O. Box 441133, Moscow, ID 83844-1133, United States","Vierling, K., Department of Fish and Wildlife, University of Idaho, P.O. Box 441136, Moscow, ID 83844-1136, United States; Lentile, L., Department of Forest Resources, University of Idaho, P.O. Box 441133, Moscow, ID 83844-1133, United States","Red-headed Woodpecker (Melanerpes erythrocephalus) populations are declining at a continental scale, yet little is known about their nest-site selection and reproduction within burned forests. We measured reproductive parameters and nest-site characteristics at 17 Red-headed Woodpecker nests and 17 random sites between 2001 and 2004 in the Black Hills, South Dakota. The average date the first egg was laid was 17 June, and the average clutch size was 5.4 ± 0.4. The daily nest survival rate averaged 0.98 (overall nest success = 47%), and predation was the major cause of nest failure. Red-headed Woodpecker nests occurred farther from grassland edges in large diameter snags within severely burned quaking aspen (Populus tremuloides) stands. High-severity fire within these aspen stands resulted in a combination of snag and understory characteristics that differed from the surrounding pine forest matrix. Interactions between cover type and burn severity may have important ecological consequences for Red-headed Woodpeckers in a mixed conifer forest. © The Cooper Ornithological Society 2006.","Aspen; Black hills; Burn severity; Habitat selection; Melanerpes erythrocephalus; Populus tremuloides; Red-headed woodpecker",Article,"Final",,Scopus,2-s2.0-33845222707
"Hutto R.L., Gallo S.M.","6603948267;15122091000;","The effects of postfire salvage logging on cavity-nesting birds",2006,"Condor","108","4",,"817","831",,62,"10.1650/0010-5422(2006)108[817:TEOPSL]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845215798&doi=10.1650%2f0010-5422%282006%29108%5b817%3aTEOPSL%5d2.0.CO%3b2&partnerID=40&md5=f506917c775486a28f6851efd17d8dc6","Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, MT 59812, United States; Maine Audubon, Falmouth, ME 04105, United States","Hutto, R.L., Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, MT 59812, United States; Gallo, S.M., Maine Audubon, Falmouth, ME 04105, United States","We investigated the effects of postfire salvage logging on cavity-nesting birds by comparing nest densities and patterns of nest reuse over a three-year period in seven logged and eight unlogged patches of mixed-conifer forest in the Blackfoot-Clearwater Wildlife Management Area, Montana. We found 563 active nests of 18 cavity-nesting birds; all species were found nesting in the uncut burned forest plots, but only eight nested in the salvage-logged plots. All except one species nested at a higher density in the unlogged areas, and half of the species were significantly more abundant in the unlogged plots. Every timber-drilling and timber-gleaning species was less abundant in the salvage-logged plots, including two of the most fire-dependent species in the northern Rocky Mountains - American Three-toed (Picoides dorsalis) and Black-backed (P. arcticus) Woodpeckers. Lower abundances in salvage-logged plots occurred despite the fact that there were still more potential nest snags per hectare than the recommended minimum number needed to support maximum densities of primary cavity-nesters, which suggests that reduced woodpecker densities are more related to a reduction in food (wood-boring beetle larvae) than to nest-site availability. Because cavities were present in only four of 244 randomly selected trees, and because frequency of cavity reuse by secondary cavity-nesters was higher in salvage-logged than in unlogged plots, nest-site limitation may be a more important constraint for secondary cavity-nesters in salvage-logged areas. These results suggest that typical salvage logging operations are incompatible with the maintenance of endemic levels of most cavity-nesting bird populations, especially populations of primary cavity-nesting species. © The Cooper Ornithological Society 2006.","Black-backed Woodpecker; Cavity-nesting birds; Fire; Healthy forests; Salvage logging",Article,"Final",,Scopus,2-s2.0-33845215798
"Hutto R.L.","6603948267;","Toward meaningful snag-management guidelines for postfire salvage logging in North American conifer forests",2006,"Conservation Biology","20","4",,"984","993",,108,"10.1111/j.1523-1739.2006.00494.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746338207&doi=10.1111%2fj.1523-1739.2006.00494.x&partnerID=40&md5=5dae09554e78f10b17639c35909a7f0d","Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, MT 59812, United States","Hutto, R.L., Avian Science Center, Division of Biological Sciences, University of Montana, Missoula, MT 59812, United States","The bird species in western North America that are most restricted to, and therefore most dependent on, severely burned conifer forests during the first years following a fire event depend heavily on the abundant standing snags for perch sites, nest sites, and food resources. Thus, it is critical to develop and apply appropriate snag-management guidelines to implement postfire timber harvest operations in the same locations. Unfortunately, existing guidelines designed for green-tree forests cannot be applied to postfire salvage sales because the snag needs of snag-dependent species in burned forests are not at all similar to the snag needs of snag-dependent species in green-tree forests. Birds in burned forests have very different snag-retention needs from those cavity-nesting bird species that have served as the focus for the development of existing snag-management guidelines. Specifically, many postfire specialists use standing dead trees not only for nesting purposes but for feeding purposes as well. Woodpeckers, in particular, specialize on wood-boring beetle larvae that are superabundant in fire-killed trees for several years following severe fire. Species such as the Black-backed Woodpecker (Picoides arcticus) are nearly restricted in their habitat distribution to severely burned forests. Moreover, existing postfire salvage-logging studies reveal that most postfire specialist species are completely absent from burned forests that have been (even partially) salvage logged. I call for the long-overdue development and use of more meaningful snag-retention guidelines for postfire specialists, and I note that the biology of the most fire-dependent bird species suggests that even a cursory attempt to meet their snag needs would preclude postfire salvage logging in those severely burned conifer forests wherein the maintenance of biological diversity is deemed important. ©2006 Society for Conservation Biology.","Black-backed Woodpecker; Cavity-nesting birds; Crown fire; Mixed-severity fire; Picoides arcticus; Salvage logging; Stand-replacement fire",Review,"Final",,Scopus,2-s2.0-33746338207
"Huot M., Ibarzabal J.","15131970300;13605395900;","A comparison of the age-class structure of black-backed woodpeckers found in recently burned and unburned boreal coniferous forests in eastern Canada",2006,"Annales Zoologici Fennici","43","2",,"131","136",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646692701&partnerID=40&md5=d884c694e6feb0ea42ea044704b70fef","Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada","Huot, M., Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada; Ibarzabal, J., Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada","Black-backed woodpeckers (Picoides arcticus) may depend on recently burned forest patches to maintain viable population levels. We wanted to determine how these habitats are colonized by this species and by which age classes. Data collected at the Observatoire d'oiseaux de Tadoussac (situated on the north shore of the St. Lawrence River (Québec, Canada)) suggest that an important movement of juveniles occurs during the autumn. It was therefore hypothesized that in the year following fire, burned forest sites would be colonized by a higher percentage of juvenile birds than intact mature stands. In accordance to this hypothesis, there was a difference in woodpecker age structure between the two habitat types (χ2 = 9.43, df = 2, P = 0.0088, n = 186). However, differences are mainly explained by the higher number of third calendar year birds at burned forest sites, suggesting that a part of the colonization occurs in the same year as the fire by second year birds, rather than by juveniles during the autumn. © Finnish Zoological and Botanical Publishing Board 2006.",,Conference Paper,"Final",,Scopus,2-s2.0-33646692701
"Ibarzabal J., Desmeules P.","13605395900;56548739800;","Black-backed woodpecker (Picoides arcticus) detectability in unburned and recently burned mature conifer forests in north-eastern North America",2006,"Annales Zoologici Fennici","43","2",,"228","234",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646705650&partnerID=40&md5=93467517959d4869192fdeceb1628e02","Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada","Ibarzabal, J., Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada; Desmeules, P., Département des Sciences Fondamentales, Université du Québec à Chicoutimi, 555 boul. de l'Université, Chicoutimi, Que. G7H 2B1, Canada","Presence-absence data is often used to determine the preferred habitat of a given organism. However, with presence-absence datasets there is a problem associated with the comparison between habitats when there is an inter-habitat variation in the proportion of false zeros. Using conspecific playbacks and time of reaction of black-backed woodpeckers in burned and unburned forests, the present study determined whether detection probabilities were similar. The period of time required to detect this species was shorter in recently burned sites than in mature forest stands (F2,235 = 22.1, df = 2, P &lt; 0.0001). To accurately compare these habitats it is important to assure the same proportion of presence and false zeros in each habitat during the census. To achieve this, we propose a time corrected method. Because inter-habitat differences in detectability exist for black-backed woodpeckers, and probably many other organisms, caution is needed when interpreting presence-absence data in the context of habitat comparisons or when monitoring biodiversity in different habitats. © Finnish Zoological and Botanical Publishing Board 2006.",,Conference Paper,"Final",,Scopus,2-s2.0-33646705650
"Kirkman L.K., Mitchell R.J.","6701512685;7403973821;","Conservation management of Pinus palustris ecosystems from a landscape perspective",2006,"Applied Vegetation Science","9","1",,"67","74",,26,"10.1658/1402-2001(2006)9[67:CMOPPE]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750346909&doi=10.1658%2f1402-2001%282006%299%5b67%3aCMOPPE%5d2.0.CO%3b2&partnerID=40&md5=1b320fa25015c67142612842fffd1190","Joseph W. Jones Ecological Research Center, Box 2324, Route 2, Newton, GA 39870, United States","Kirkman, L.K., Joseph W. Jones Ecological Research Center, Box 2324, Route 2, Newton, GA 39870, United States; Mitchell, R.J., Joseph W. Jones Ecological Research Center, Box 2324, Route 2, Newton, GA 39870, United States","Question: Do case studies from silvicultural and restoration studies and applied conservation management in second-growth Pinus palustris stands provide unique insights for conservation models? Methods: A review of management paradigms that conserve the high biological diversity and rare species, drawn from characteristics in both second-growth and old-growth stands, is presented for fire-maintained Pinus palustris (longleaf pine) forests. Results: A common assumption that old-growth stands provide the primary information for the development of conservation management strategies de-emphasizes lessons learned from second-growth and restoration studies. Primary conservation management goals for the Pinus palustris ecosystem include the perpetual regeneration of the fire-maintained forest and conservation of the characteristically high biological diversity and rare species. Several attributes, such as a sustained population of Picoides borealis (red-cockaded woodpecker), Aristida stricta (wiregrass)-dominated ground cover, and undisturbed upland-wetland ecotones, can predict a diverse and ecologically functional ecosystem. Such indicators are linked to critical structural and functional features of the system and reflect previous land management histories that suggest sustainable approaches. Conclusions: A traditional definition of 'old-growth' relying on overstorey may be limited in describing important features of healthy, diverse Pinus palustris ecosystems. Some characteristics are significantly more important for maintenance of diversity than age of the trees and these features may be present in old- or second-growth forests. We advocate that the management history, structural characteristics and landscape context of stands that harbour desirable conservation attributes (red-cockaded woodpeckers, wiregrass, gopher tortoises and undisturbed upland-wetland ecotones) can be used as indicators to identify important conservation and forest management principles. © IAVS; Opulus Press.","Adaptive management; Biodiversity; Ecological forestry; Longleaf pine; Old-growth; Prescribed fire; Red cockaded woodpecker; Restoration; Wiregrass",Conference Paper,"Final",,Scopus,2-s2.0-33750346909
"Schieck J., Song S.J.","56213992800;7403349196;","Changes in bird communities throughout succession following fire and harvest in boreal forests of western North America: Literature review and meta-analyses",2006,"Canadian Journal of Forest Research","36","5",,"1299","1318",,89,"10.1139/X06-017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746506108&doi=10.1139%2fX06-017&partnerID=40&md5=40d42ba5a1587ead81b36eb0751d6f83","Integrated Resource Management, Alberta Research Council, Bag 4000, Vegreville, Alta. T9C 1T4, Canada; Environment Canada, Canadian Wildlife Service, 4999-98 Avenue, Edmonton, Alta. T6B 2X3, Canada","Schieck, J., Integrated Resource Management, Alberta Research Council, Bag 4000, Vegreville, Alta. T9C 1T4, Canada; Song, S.J., Environment Canada, Canadian Wildlife Service, 4999-98 Avenue, Edmonton, Alta. T6B 2X3, Canada","Within boreal forests of western North America, the dominant large-scale natural disturbance is wildfire. Thus, harvesting that is as similar as possible to fire is expected to best maintain natural bird communities. We reviewed studies of birds (mainly grouse, woodpeckers, and songbirds) from boreal forests of western North America and conducted meta-analyses to compare the similarity of bird communities occurring postfire versus postharvest. We compared the bird communities at five seral stages and also summarized the effects of retaining large live trees at harvest. Bird communities immediately postharvest differed greatly from those postfire. Differences between disturbance types disappeared as the forest regenerated, and both disturbance types became dominated by relatively few bird species in 31- to 75-year-old forests. During the period 76-125 years postdisturbance, old-forest birds became present and bird species richness increased. However, the trajectory of forest succession during this period influenced bird communities; old aspen (Populus tremuloides Michx.), old mixedwood, and old white spruce (Picea glauca Moench (Voss)) forests all had different bird communities. Retention of large live trees in cutblocks resulted in their use by many old-forest birds, but results were not consistent among studies. Although most bird species had clear peaks in abundance in a specific forest type, no species with more than five detections was limited to a single forest type. © 2006 NRC.",,Article,"Final",,Scopus,2-s2.0-33746506108
"Brawn J.D.","7003902874;","Effects of restoring oak savannas on bird communities and populations",2006,"Conservation Biology","20","2",,"460","469",,59,"10.1111/j.1523-1739.2006.00310.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645107118&doi=10.1111%2fj.1523-1739.2006.00310.x&partnerID=40&md5=a8e7765c3921308464e3bb23d6da2257","Department of Natural Resources and Environmental Sciences, Program in Ecology and Evolutionary Biology, University of Illinois at Urbana-Champaign, 606 East Healey Street, Champaign, IL 61820-5502, United States","Brawn, J.D., Department of Natural Resources and Environmental Sciences, Program in Ecology and Evolutionary Biology, University of Illinois at Urbana-Champaign, 606 East Healey Street, Champaign, IL 61820-5502, United States","Efforts to restore and maintain oak savannas in North America, with emphasis on the use of prescribed fire, have become common. Little is known, however, about how restoration affects animal populations, especially those of birds. I compared the breeding densities, community structure, and reproductive success of birds in oak savannas maintained by prescribed fire (12 sites) with those in closed-canopy forests (13 sites). All sampling was conducted in Illinois (U.S.A.). Of the 31 bird species analyzed, 12 were more common in savannas, 14 were not affected by habitat structure, and 5 were more common in forest habitat. The species favored by disturbance and restoration included Northern Bobwhites (Colinus virginianus), Mourning Doves ( Zenaida macroura), Red-headed Woodpeckers ( Melanerpes erythrocephalus), Indigo Buntings ( Passerina cyanea), and Baltimore Orioles (Icterus galbula). Those more common in closed-canopy forest included Ovenbirds (Seiurus aurocapilla) and Wood Thrushes ( Hylocichla mustelina). Few species were unique to one type of habitat, but overall avian community structure in oak savannas and closed-canopy forests was generally distinctive. Estimates of nesting success (derived from 785 nests) revealed that 6 of the 13 species considered experienced greater productivity in the savanna habitat. Rates of brood parasitism were unaffected by restoration and habitat structure. Within savannas, tract size had little effect on breeding abundances and reproductive success. My results illustrate that restoration techniques can significantly affect the ecology of constituent animal populations and communities and have key implications regarding avian conservation and the management of forest habitat in fragmented landscapes. Small patches of forest habitat that regularly function as population sinks may offer far better prospects for birds if they are subjected to disturbance and ecosystem restoration. © 2006 Society for Conservation Biology.","Bird conservation; Disturbance; Fragmentation; Habitat restoration; Nest success; Prescribed fire",Article,"Final",,Scopus,2-s2.0-33645107118
"Allen J.C., Krieger S.M., Walters J.R., Collazo J.A.","55477971800;15048306400;7201758471;7004006804;","Associations of breeding birds with fire-influenced and riparian-upland gradients in a longleaf pine ecosystem",2006,"Auk","123","4",,"1110","1128",,18,"10.1642/0004-8038(2006)123[1110:AOBBWF]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750458036&doi=10.1642%2f0004-8038%282006%29123%5b1110%3aAOBBWF%5d2.0.CO%3b2&partnerID=40&md5=743983f756b74f999a5cbf71ab83d6a0","Department of Biology, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, United States; U.S. Geological Survey, North Carolina Cooperative Fish and Wildlife Research Unit, North Carolina State University, Raleigh, NC 27695, United States; 5914 Smith Station Road, Fredericksburg, VA 22407, United States","Allen, J.C., Department of Biology, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, United States, 5914 Smith Station Road, Fredericksburg, VA 22407, United States; Krieger, S.M., U.S. Geological Survey, North Carolina Cooperative Fish and Wildlife Research Unit, North Carolina State University, Raleigh, NC 27695, United States; Walters, J.R., Department of Biology, Virginia Polytechnic Institute and State University, Blacksburg, VA 24061, United States; Collazo, J.A., U.S. Geological Survey, North Carolina Cooperative Fish and Wildlife Research Unit, North Carolina State University, Raleigh, NC 27695, United States","We determined the effects of fire history and a riparian-upland gradient on the breeding bird community at Fort Bragg Military Installation in North Carolina, one of the largest remnant areas of the endangered longleaf pine (Pinus palustris) ecosystem. Study sites were classified into two treatments: fire-intense (areas experiencing growing-season burns) and fire-suppressed (areas lacking fires). Within each treatment, bird and vegetation data were recorded at point-count stations positioned at three distances from streamhead pocosins to characterize the riparian-upland habitat gradient: 0, 75, and ≥150 m. Total bird abundance and species richness varied significantly along the riparian-upland gradient, with pocosins contributing greatly to avian biodiversity. Our data revealed strong effects of fire history and riparian-upland gradient on bird species, which we described in terms of breeding-bird assemblages. Members of the open longleaf assemblage (e.g., Red-cockaded Woodpecker [Picoides borealis], Bachman's Sparrow [Aimophila aestivalis]) were most common in fire-intense areas and at upland locations. Members of the fire-suppressed assemblage (e.g., Wood Thrush [Hylocichla mustelina], Ovenbird [Seiurus aurocapilla]) were confined to pocosins in fire-intense areas, but became more abundant in fire-suppressed areas. Members of the pocosin assemblage (e.g., Eastern Towhee [Pipilo erythropthalamus], Common Yellowthroat [Geothlypis trichas]) were largely confined to pocosins and, in some cases, were most abundant in fire-intense pocosins. Fire suppression increased structural diversity of vegetation and promoted one breeding-bird assemblage (fire-suppressed), but at the expense of two others (open longleaf, pocosin). Continued management of Fort Bragg to promote longleaf pine restoration is essential for supporting conservation of the open-longleaf bird assemblage; in addition, it will benefit the pocosin assemblage. © The American Ornithologists' Union, 2006.","Breeding birds; Fire; Longleaf pine; Pinus palustris; Riparian habitat",Article,"Final",,Scopus,2-s2.0-33750458036
"Engstrom R.T., Vickery P.D., Perkins D.W., Shriver W.G.","7005527555;7004934830;7201695810;6603645112;","Effects of fire regime on birds in southeastern pine savannas and native prairies",2005,"Studies in Avian Biology",,"30",,"147","193",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644463256&partnerID=40&md5=37ed5f3247914b988c5841eec1b3df56","Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Nature Conservancy, 4340 Highway 84 West, Thomasville, GA 31792, United States; Department of Natural Resources Conservation, University of Massachusetts, Amherst, MA 01003, United States; National Park Service, Lyndon B. Johnson National Park, P.O. Box 239, Johnson City, TX 78636, United States; Center for Ecological Research, Richmond, ME 04357, United States; State University of New York, Syracuse, NY 13210, United States; National Park Service, 54 Elm Street, Woodstock, VT 05091, United States","Engstrom, R.T., Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States, Nature Conservancy, 4340 Highway 84 West, Thomasville, GA 31792, United States; Vickery, P.D., Department of Natural Resources Conservation, University of Massachusetts, Amherst, MA 01003, United States, Center for Ecological Research, Richmond, ME 04357, United States; Perkins, D.W., Department of Natural Resources Conservation, University of Massachusetts, Amherst, MA 01003, United States, National Park Service, Lyndon B. Johnson National Park, P.O. Box 239, Johnson City, TX 78636, United States; Shriver, W.G., State University of New York, Syracuse, NY 13210, United States, National Park Service, 54 Elm Street, Woodstock, VT 05091, United States","Fire, both natural and anthropogenic, has played a critical role in shaping vegetation structure and composition of many of the plant communities of the southeastern United States. Pine savannas, especially longleaf pine (Pinus palustris), that were dominant over much of the upland coastal plain, have declined by approximately 97% over the past 100 yr. The inferred natural fire regime of this vegetation type was a fire frequency of 2-8 yr with typically low-severity fires that occurred during the lightning season (June-August). Currently, dormant-season (January through April) fires are used most frequently. Approximately 110-120 species, excluding migrants, comprise the avian community of southeastern pine savannas; and some of these are among the most rapidly declining bird species in the eastern United States. Disruption of the natural fire regime by fire exclusion or lengthened fire interval was detrimental to bird species associated with tree (e.g., Red-cockaded Woodpecker [Picoides borealis] and ground cover components (e.g., Bachman's Sparrow [Aimophila aestivalis] of the ecosystem. Lightning-season fire has mixed effects on birds (e.g., loss of some nests, but improved brood habitat); therefore, creation of patches of different burn treatments should be carefully considered. The foremost management and conservation challenge is to increase the number of acres of southeastern pine savannas burned frequently through thoughtful application of prescribed burning. Important research challenges include measuring tradeoffs among bird species and other wildlife for different fire regimes, evaluating metapopulation effects of different landscape applications of fire, and considering the nutrient dynamics of different fire regimes on bird populations.","Birds; Fire; Longleaf pine; Prairie; Southeastern United States",Conference Paper,"Final",,Scopus,2-s2.0-24644463256
"Müller J.","35305557700;","Bird communities as indicators for woodland structures in oak woods [Vogelgemeinschaften als Indikatoren für Waldstrukturen in Eichenwäldern]",2005,"Ornithologische Beobachter","102","1",,"15","32",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-15944411764&partnerID=40&md5=eec6da778b9daceab02805b5c456dd05","Bayerische Landesanstalt fur Wald, Sachgebiet Waldökologie, Am Hochanger 11, D-85354 Freising, Germany","Müller, J., Bayerische Landesanstalt fur Wald, Sachgebiet Waldökologie, Am Hochanger 11, D-85354 Freising, Germany","Bird communities were tested as indicators of different woodland structures in oak woods of Franconian (Bavaria, southern Germany) coppice-with-standards, conversion and high forests, as well as in Strict Forest Reserves. On the basis of grid mapping and using the canonical correspondence analysis, which combines complex data on all bird species and data on the environment, it was possible to show that breeding bird communities are better suited to indicate differences in the structure of deciduous woods than wintering bird communities. Characteristic species of open stands during the breeding season (Fig. 7) are Tree Pipit Anthus trivialis, Garden Warbler Sylvia borin, Common Cuckoo Cuculus canorus, Turtle Dove Streptopelia turtur, Wryneck Jynx torquilla and Hedge Accentor Prunella modularis. Species of two layer stands are Golden Oriole Oriolus oriolus, Grey-headed Woodpecker Picus canus, Fieldfare Turdus pilaris, Yellowhammer Emberiza citrinella, Common Chiffichaff Phylloscopus collybita and Willow Warbler P. trochilus. Characteristic species of staggered oakwoods mixed with coniferous trees are Goldcrest Regulus regulus, Firecrest R. ignicapillus, Coal Tit Parus ater and Common Crossbill Loxia curvirostra, usually typical for conifer woods, and Wren Troglodytes troglodytes. Characteristic for dense woods are, in order of decreasing indicator function, Shorttoed Treecreeper Certhia brachydactyla, Pied Flycatcher Ficedula hypoleuca, Middle Spotted Woodpecker Dendrocopos medius, Wood Warbler Phylloscopus sibilatrix, European Nuthatch Sitta europaea, Eurasian Treecreeper Certhia familiaris, Mistle Thrush Turdus viscivorus, Lesser Spotted Woodpecker Dendrocopos minor, Great Spotted Woodpecker D. major and Hawfinch Coccothraustes coccothraustes. Further proof for the indicator function of different bird species could be achieved by a species-indicator-analysis (Table 3). Beside the Middle Spotted Woodpecker, the Collared Flycatcher Ficedula albicollis is the second important target species of conservation management in oak woods. Multivariate analysis resulted in only a minor function of this species, but there was a strong correlation for this species to occur in woods with a high proportion of dead branches in crowns of live oaks (Fig.8).","Bird communities; Canonical correspondence analysis; Coppice-with-standards; Dendrocopos medius; Ficedula albicollis; Forest structure; Germany; Indicator species; Oak forests",Article,"Final",,Scopus,2-s2.0-15944411764
"Bull E.L., Clark A.A., Shepherd J.F.","7004903741;8971768100;7401741970;","Short-term effects of fuel reduction on pileated woodpeckers in northeastern Oregon - A pilot study",2005,"USDA Forest Service - Research Papers PNW-RP",,"564",,"1","17",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748889327&partnerID=40&md5=320bc321ab8eb0f0c3dd34554095caf4","U.S. Department of Agriculture, Pacific Northwest Research Station, Forestry and Range Sciences Laboratory, 1401 Gekeler Lane, La Grande, OR 97850, United States; Department of Animal Science, Oregon State University, Corvallis, OR 97331, United States; Department of Fish and Wildlife Resources, University of Idaho, Moscow, ID 83843, United States","Bull, E.L., U.S. Department of Agriculture, Pacific Northwest Research Station, Forestry and Range Sciences Laboratory, 1401 Gekeler Lane, La Grande, OR 97850, United States; Clark, A.A., U.S. Department of Agriculture, Pacific Northwest Research Station, Forestry and Range Sciences Laboratory, 1401 Gekeler Lane, La Grande, OR 97850, United States, Department of Animal Science, Oregon State University, Corvallis, OR 97331, United States; Shepherd, J.F., Department of Fish and Wildlife Resources, University of Idaho, Moscow, ID 83843, United States","To determine the short-term effects (1 to 3 years posttreatment) of fuel reduction on pileated woodpeckers (Dryocopus pileatus) in northeastern Oregon, we compared measures of abundance of logs, snags, stumps, and of woodpecker foraging in mixed-conifer stands that had undergone the following treatments: prescribed burning after mechanical fuel reduction, mechanical fuel reduction without prescribed burning, or no treatment. Pileated woodpecker foraging was significantly more abundant in the stands that were not treated or had mechanical fuel reduction only. Ants, the primary prey of pileated woodpeckers, were also significantly more abundant in these stands.","Ants; Fuel reduction; Logs; Northeastern Oregon; Pileated woodpecker; Prescribed burns; Snags",Article,"Final",,Scopus,2-s2.0-33748889327
