Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Marcelino D.G., Corrêa A.G., Dornas T., Pinheiro R.T.","36562062300;55220923400;24823829400;24825329200;","Environmental diagnosis of Kaempfer's woodpecker, Celeus obrieni, on Goiás State north region, Brazil [Diagnóstico ambiental das áreas de ocorrência do pica-pau-do-parnaíba Celeus obrieni, na região norte de Goiás, Brasil]",2012,"Neotropical Biology and Conservation","7","2",,"129","139",,1,"10.4013/nbc.2012.72.07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872075001&doi=10.4013%2fnbc.2012.72.07&partnerID=40&md5=9e91d5a4a3f96ffd423670ef3407f9e9","Universidade Federal do Tocantins, Grupo de Pesquisa em Ecologia e Conservação de Aves (ECOAVES/UFT), Estação Experimental, Lab. de Ecologia e Ornitologia, Campus Univ. de Palmas, Av. NS15 ALCNO 14, Quadra 109 Norte, 77020-210, Palmas, TO, Brazil","Marcelino, D.G., Universidade Federal do Tocantins, Grupo de Pesquisa em Ecologia e Conservação de Aves (ECOAVES/UFT), Estação Experimental, Lab. de Ecologia e Ornitologia, Campus Univ. de Palmas, Av. NS15 ALCNO 14, Quadra 109 Norte, 77020-210, Palmas, TO, Brazil; Corrêa, A.G., Universidade Federal do Tocantins, Grupo de Pesquisa em Ecologia e Conservação de Aves (ECOAVES/UFT), Estação Experimental, Lab. de Ecologia e Ornitologia, Campus Univ. de Palmas, Av. NS15 ALCNO 14, Quadra 109 Norte, 77020-210, Palmas, TO, Brazil; Dornas, T., Universidade Federal do Tocantins, Grupo de Pesquisa em Ecologia e Conservação de Aves (ECOAVES/UFT), Estação Experimental, Lab. de Ecologia e Ornitologia, Campus Univ. de Palmas, Av. NS15 ALCNO 14, Quadra 109 Norte, 77020-210, Palmas, TO, Brazil; Pinheiro, R.T., Universidade Federal do Tocantins, Grupo de Pesquisa em Ecologia e Conservação de Aves (ECOAVES/UFT), Estação Experimental, Lab. de Ecologia e Ornitologia, Campus Univ. de Palmas, Av. NS15 ALCNO 14, Quadra 109 Norte, 77020-210, Palmas, TO, Brazil","Despite being widely distributed on the Brazilian Cerrado, C. obrieni is classified as endangered inhabiting the ""cerradão"" and riparian vegetation mixed with the bamboo Guadua paniculata. On Goiás State it has been found on different sites even though the low potential to its vegetation occurrence. Thus, we do an environmental diagnosis on C. obrieni incidence sites, identifying soil cover and major land uses, fragments with potential to support its ecological requirements and the main threats to its conservation. Results demonstrate that the soil cover and use matrix on Porangatu and Novo Planalto quadrants are dominated by agro pasturelands. On Minaçu 1 and Minaçu 3, the native vegetation area is a little higher than human modified areas, while on Minaçu 2 different Cerrado physiognomies predominate on the landscape. Average size of potential fragments on Novo Planalto and Porangatu were significantly lower than Minaçu fragments, predominating vegetation fragments smaller than 10 ha in all quadrants analyzed. Main threats to C. obrieni are associated to deforestation and fire, generated chiefly by agriculture and pasture expansion over native vegetation. © 2012 by Unisinos.","Celeus obrieni; Habitat loss; Local extinction; Potential areas",Article,,Scopus,2-s2.0-84872075001
"Wilsey C.B., Lawler J.J., Cimprich D.A.","36706692000;7202870302;8333788300;","Performance of habitat suitability models for the endangered black-capped vireo built with remotely-sensed data",2012,"Remote Sensing of Environment","119",,,"35","42",,21,"10.1016/j.rse.2011.12.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855779512&doi=10.1016%2fj.rse.2011.12.002&partnerID=40&md5=fcd3e98f8987cdb3c71eb815e741adcc","School of Forest Resources, University of Washington, Seattle, WA, 98195-2100, United States; Fort Hood Military Reservation, Bldg 1939, Rod and Gun Club Loop 53rd, Killeen, TX 76544-5028, United States","Wilsey, C.B., School of Forest Resources, University of Washington, Seattle, WA, 98195-2100, United States; Lawler, J.J., School of Forest Resources, University of Washington, Seattle, WA, 98195-2100, United States; Cimprich, D.A., Fort Hood Military Reservation, Bldg 1939, Rod and Gun Club Loop 53rd, Killeen, TX 76544-5028, United States","Identifying suitable habitat is critical to endangered species management and recovery. However, this basic task is often complicated by the rarity of the species in question and the limited availability of high quality environmental data. The endangered Black-capped Vireo (Vireo atricapilla) occupies early seral shrub communities generated by fire. The ability to predict vegetation structure is particularly important for mapping vireo habitat because this species occupies transitional, non-equilibrium vegetation types. We use presence data for territorial male vireos collected throughout the Fort Hood Military Reservation, Texas, to construct habitat suitability models using vegetation type (mapped from aerial imagery), soil data, and laser altimetry (LiDAR)-derived measures of vegetation structure. LiDAR produces a three-dimensional, high-resolution representation of vegetation structure across broad spatial scales. We built models that incorporated LIDAR outputs as well as the other habitat predictors using a non-parametric machine-learning algorithm, cforest. Models built using a single predictor class (vegetation structure or type or soil) performed similarly across 25 bootstrapped training and test datasets (median accuracies 76%, 74%, and 79%, respectively). Models incorporating two predictor classes performed better (80-81%) and only slightly worse than the full model (82%). Furthermore, vegetation type and soil data were more important predictors of habitat suitability than structural measures in the full model. Predictive maps suggest that models incorporating vegetation type and soil would be most useful for habitat conservation and management applications on Fort Hood. The addition of LiDAR-derived variables to the model further distinguishes suitable habitats from potentially suitable but presently overgrown areas. In the absence of detailed vegetation data, models based on structural measures performed well when combined with soil data. This could be useful in a broader regional context in which vireos occupy a greater variety of vegetation types with a common structure. © 2011 Elsevier Inc.","Aerial altimetry; Aerial imagery; Black-capped vireo; Cforest; LiDAR; Variable importance; Vegetation",Article,,Scopus,2-s2.0-84855779512
"Cocking M.I., Varner J.M., Sherriff R.L.","54939562900;7102417126;6701673681;","California black oak responses to fire severity and native conifer encroachment in the Klamath Mountains",2012,"Forest Ecology and Management","270",,,"25","34",,20,"10.1016/j.foreco.2011.12.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856503006&doi=10.1016%2fj.foreco.2011.12.039&partnerID=40&md5=1f72eaa389f756d56e926a5e97dd7629","Department of Forestry and Wildland Resources, Humboldt State University, Arcata, CA, United States; Department of Geography, Humboldt State University, Arcata, CA, United States","Cocking, M.I., Department of Forestry and Wildland Resources, Humboldt State University, Arcata, CA, United States; Varner, J.M., Department of Forestry and Wildland Resources, Humboldt State University, Arcata, CA, United States; Sherriff, R.L., Department of Geography, Humboldt State University, Arcata, CA, United States","Fire exclusion in forests across the western United States has resulted in widespread vegetation change, often with notable increases in density and cover of fire-sensitive species. In California oak woodlands, encroachment by the more shade-tolerant native Douglas-fir (Pseudotsuga menziesii) is particularly common, and results in the piercing and eventual overtopping of crowns of shade-intolerant trees. We investigated canopy competition, paired tree ages, and post-fire effects in a recently burned, encroached California black oak (Quercus kelloggii) woodland. Pre-fire woodland overstory was heavily dominated by Douglas-fir, which commonly pierced and overtopped California black oak crowns. Trees that pierced overstory oak crowns were younger (mean difference = 43.6. years, p< 0.001) than their paired oaks. Fire effects were variable, leaving some areas unchanged and others with complete above-ground stem mortality. Although above-ground stem-kill was often high for California black oak, the majority (82%) re-sprouted from the root collar. Logistic modeling revealed a significant relationship between California black oak mortality and neighboring Douglas-fir height and plot heat load index. The probability of California black oak mortality increased as neighboring Douglas-fir height increased and decreased with increasing heat load index. Probability of mortality for Douglas-fir decreased with increasing tree size, while the probability of California black oak top-kill was much higher than that for 20-30. cm. dbh Douglas-fir across a continuous measure of char height. Results indicate that competitive pressure from encroaching trees may compromise California black oak's ability to survive fire while resilience of encroaching Douglas-fir improves with greater size. Caution should be taken when planning and implementing restoration activities in California black oak woodlands to minimize loss of compromised, remnant oaks while still achieving adequate removal of encroaching conifers. © 2011 Elsevier B.V.","Ecological restoration; Fire exclusion; Oak woodland; Positive feedbacks; Tree mortality",Article,,Scopus,2-s2.0-84856503006
"Kosicki J.Z.","6602315149;","Effect of weather conditions on nestling survival in the White Stork Ciconia ciconia population",2012,"Ethology Ecology and Evolution","24","2",,"140","148",,13,"10.1080/03949370.2011.616228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859143480&doi=10.1080%2f03949370.2011.616228&partnerID=40&md5=6eba7a7ee5c1d228b793c2d143e73529","Department of Avian Biology and Ecology, Faculty of Biology, Adam Mickiewicz University, ul. Umultowska 89, 61-614, Pozna, Poland","Kosicki, J.Z., Department of Avian Biology and Ecology, Faculty of Biology, Adam Mickiewicz University, ul. Umultowska 89, 61-614, Pozna, Poland","This paper presents how weather conditions affect survival of White Stork Ciconia ciconia nestlings. The main goals of the present study are to determine the most critical period for breeding output and to investigate factors influencing reproductive efficiency of the studied population. The mean survival rate of the whole nesting period (day 52 from egg laying to day 20 of nestlings life) was 0.668 (95% CL: 0.611-0.725) and did not differ between years, while mean survival for incubation period was 0.721 (0.681-0.761) and also was not significantly different between years. Finally, the mean survival rate for the nestling period was 0.903 (0.869-0.937) and was different between years. This study shows that the most critical period in the breeding cycle is the time of incubation and the first days of the nestling's life. The period from egg laying to day 20 of the nestling's life is characterised by the highest hazard ratio. Finally, the study demonstrates that, like many other bird species, White Stork nestlings' survival is affected by low temperatures and a high level of precipitation. © 2012 Copyright 2012 Dipartimento di Biologia Evoluzionistica dell'Universit, Firenze, Italia.","Ciconia ciconia; nestling survival; weather conditions; White Stork",Article,,Scopus,2-s2.0-84859143480
"Mühlenberg M., Appelfelder J., Hoffmann H., Ayush E., Wilson K.J.","6602539085;55062211100;57196663208;55059113700;57199054050;","Structure of the montane taiga forests of West Khentii, Northern Mongolia",2012,"Journal of Forest Science","58","2",,"45","56",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857862485&partnerID=40&md5=a569ff1d10eefa16734097fd5c339eb3","Centre for Nature Conservation, Department of Conservation Biology, Faculty of Biology, Bürgerstraße 50, 37073, Göttingen, Germany; Stiftung NaturSchutzFonds Brandenburg, Naturparkverwaltung Niederlausitzer Heidelandschaft, Bad Liebenwerda, Germany; German Technical Cooperation, Ulanbataar, Mongolia; Charleston, New Zealand","Mühlenberg, M., Centre for Nature Conservation, Department of Conservation Biology, Faculty of Biology, Bürgerstraße 50, 37073, Göttingen, Germany; Appelfelder, J., Stiftung NaturSchutzFonds Brandenburg, Naturparkverwaltung Niederlausitzer Heidelandschaft, Bad Liebenwerda, Germany; Hoffmann, H., German Technical Cooperation, Ulanbataar, Mongolia; Ayush, E., Centre for Nature Conservation, Department of Conservation Biology, Faculty of Biology, Bürgerstraße 50, 37073, Göttingen, Germany; Wilson, K.J., Charleston, New Zealand","Studies were undertaken to investigate the composition, structure and diversity of four different types of North Mongolian montane forest near the southern border of the taiga. These forest types, classified as willow-poplar, larch-birch, spruce-fir and Siberian-pine forests, were found to be significantly different with respect to the elevational gradient. In the study area, two fire regimes could be distinguished at lower and drier elevations, frequent surface fires resulted in less diverse forests comprising coniferous species, which in their adult form were found to be fire-resistant, burn-colonizing and light-demanding deciduous tree species. In contrast, the forests colonizing the moist, higher elevations and shaded slopes had a higher diversity of tree species with greater basal area, higher proportion of deadwood, and more regenerating trees; here the coniferous shade trees experienced infrequent but destructive treetop fires. Overall, our results showed that the four forest types differed in composition according to the tree species, diameter and height classes.","Deadwood; Elevation; Montane taiga; Regeneration",Article,,Scopus,2-s2.0-84857862485
"Watson S.J., Taylor R.S., Nimmo D.G., Kelly L.T., Haslem A., Clarke M.F., Bennett A.F.","55757784477;56302118200;20734955300;24076356800;14524634300;7403284452;40460915100;","Effects of time since fire on birds: How informative are generalized fire response curves for conservation management?",2012,"Ecological Applications","22","2",,"685","696",,50,"10.1890/11-0850.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859539284&doi=10.1890%2f11-0850.1&partnerID=40&md5=caa05121b79a7f27acc53b9578ae689c","Landscape Ecology Research Group, School of Life and Environmental Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia; Institute for Land, Water and Society, School of Environmental Science, Charles Sturt University, Thurgoona, NSW 2640, Australia; Department of Zoology, La Trobe University, Melbourne, VIC 3086, Australia; School of Botany, University of Melbourne, Parkville, VIC 3010, Australia; Institute for Land, Water and Society, Charles Sturt University, P.O. Box 789, Albury, NSW 2640, Australia","Watson, S.J., Landscape Ecology Research Group, School of Life and Environmental Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia, Institute for Land, Water and Society, School of Environmental Science, Charles Sturt University, Thurgoona, NSW 2640, Australia, Institute for Land, Water and Society, Charles Sturt University, P.O. Box 789, Albury, NSW 2640, Australia; Taylor, R.S., Department of Zoology, La Trobe University, Melbourne, VIC 3086, Australia; Nimmo, D.G., Landscape Ecology Research Group, School of Life and Environmental Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia; Kelly, L.T., Landscape Ecology Research Group, School of Life and Environmental Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia, School of Botany, University of Melbourne, Parkville, VIC 3010, Australia; Haslem, A., Department of Zoology, La Trobe University, Melbourne, VIC 3086, Australia; Clarke, M.F., Department of Zoology, La Trobe University, Melbourne, VIC 3086, Australia; Bennett, A.F., Landscape Ecology Research Group, School of Life and Environmental Sciences, Deakin University, 221 Burwood Highway, Burwood, VIC 3125, Australia","Fire is both a widespread natural disturbance that affects the distribution of species and a tool that can be used to manage habitats for species. Knowledge of temporal changes in the occurrence of species after fire is essential for conservation management in fireprone environments. Two key issues are: whether postfire responses of species are idiosyncratic or if multiple species show a limited number of similar responses; and whether such responses to time since fire can predict the occurrence of species across broad spatial scales. We examined the response of bird species to time since fire in semiarid shrubland in southeastern Australia using data from surveys at 499 sites representing a 100-year chronosequence. We used nonlinear regression to model the probability of occurrence of 30 species with time since fire in two vegetation types, and compared species' responses with generalized response shapes from the literature. The occurrence of 16 species was significantly influenced by time since fire: they displayed six main responses consistent with generalized response shapes. Of these 16 species, 15 occurred more frequently in mid-or later-successional vegetation (>20 years since fire), and only one species occurred more often in early succession (<5 years since fire). The models had reasonable predictive ability for eight species, some predictive ability for seven species, and were little better than random for one species. Bird species displayed a limited range of responses to time since fire; thus a small set of fire ages should allow the provision of habitat for most species. Postfire successional changes extend for decades and management of the age class distribution of vegetation will need to reflect this timescale. Response curves revealed important seral stages for species and highlighted the importance of mid-to late-successional vegetation (.20 years). Although time since fire clearly influences the distribution of numerous bird species, predictive models of the spatial distribution of species in fire-prone landscapes need to incorporate other factors in addition to time since fire. © 2012 by the Ecological Society of America.","Birds; Chronosequence; Conservation; Disturbance; Fire; Mallee; Semiarid shrubland; Southeastern Australia; Succession; Time since fire",Article,,Scopus,2-s2.0-84859539284
"Hiers J.K., Mitchell R.J., Barnett A., Walters J.R., MacK M., Williams B., Sutter R.","6602129537;7403973821;26422758000;7201758471;35560658500;14049504700;7102807448;","The dynamic reference concept: Measuring restoration success in a rapidly changing no-analogue future",2012,"Ecological Restoration","30","1",,"27","36",,29,"10.3368/er.30.1.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858649326&doi=10.3368%2fer.30.1.27&partnerID=40&md5=15a40032cd0d52a3b800f375e5413b55","Eglin Air Force Base Natural Resources, Jackson Guard, Niceville, FL, United States; Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States; Nature Conservancy, Southern Resource Office, Durham, NC, United States; Virginia Tech, Department of Biological Sciences, Blacksburg, VA, United States; University of Florida, Department of Biology, Gainesville, FL, United States; Enduring Conservation Outcomes, LLC, Savannah, GA, United States","Hiers, J.K., Eglin Air Force Base Natural Resources, Jackson Guard, Niceville, FL, United States; Mitchell, R.J., Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States; Barnett, A., Nature Conservancy, Southern Resource Office, Durham, NC, United States, Virginia Tech, Department of Biological Sciences, Blacksburg, VA, United States; Walters, J.R., Virginia Tech, Department of Biological Sciences, Blacksburg, VA, United States; MacK, M., University of Florida, Department of Biology, Gainesville, FL, United States; Williams, B., Eglin Air Force Base Natural Resources, Jackson Guard, Niceville, FL, United States; Sutter, R., Enduring Conservation Outcomes, LLC, Savannah, GA, United States","The ""past as prologue"" approach to ecological restoration is increasingly problematic due to global climate change, invasive species, and human perturbations that are outside of evolutionary boundaries, all of which argue for new conceptual approaches to restoration. We present the dynamic reference concept, an approach that quantitatively incorporates the temporal and spatial variation of reference ecosystems such that targets reflect ecological dynamism. Success is measured by simultaneously quantifying changes in reference and restoration sites over time. To illustrate the practical application of this concept, we present a case study of longleaf pine (Pinus palustris) restoration on Eglin Air Force Base, Florida, USA. We use Mahalanobis distance with non-metric multidimensional scaling ordination to quantify the dynamic nature of reference plots and the extent to which restoration sites move toward them. Reference ecosystems were first defined by expert judgment and ecological models including maximum entropy. We then further refined restoration targets through data analysis using Mahalanobis distance to determine plots that were within the 90% confidence region of initial benchmark species composition. Species composition of benchmark sites was more resilient than restoration sites, i.e., changing less with a natural disturbance regime of frequent fire. Restoration sites with higher fire frequency moved more rapidly towards the reference conditions than sites with fewer fires. By quantifying the ""moving target"" of reference ecosystems while simultaneously measuring change of restoration sites, this application of the dynamic reference concept offers promise to manage for reference conditions that are achievable in a world where change is the norm. © 2012 by the Board of Regents of the University of Wisconsin System.","Disturbance; Dynamic Reference Concept; Longleaf pine; No-analog future; Reference conditions; Restoration",Article,,Scopus,2-s2.0-84858649326
"Stahle D.W., Burnette D.J., Villanueva J., Cerano J., Fye F.K., Griffin R.D., Cleaveland M.K., Stahle D.K., Edmondson J.R., Wolff K.P.","7004236861;26653401200;6506407293;36102026100;6507051978;37037344100;6603768180;57197062817;35798194600;54911409500;","Tree-ring analysis of ancient baldcypress trees and subfossil wood",2012,"Quaternary Science Reviews","34",,,"1","15",,24,"10.1016/j.quascirev.2011.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856610577&doi=10.1016%2fj.quascirev.2011.11.005&partnerID=40&md5=ab8a7206d942c608359d2913d1621125","Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Laboratorio de Dendrocronologia, Instituto Nacional de Investigaciones Forestales Agricolas, y Pecuarias, CENID-RESPID, Km 6.5 margen derecha canal Sacramento, Gomez Palacio, Durango, Mexico; Department of Geography, University of Arizona, Tucson, AZ 85721, United States","Stahle, D.W., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Burnette, D.J., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Villanueva, J., Laboratorio de Dendrocronologia, Instituto Nacional de Investigaciones Forestales Agricolas, y Pecuarias, CENID-RESPID, Km 6.5 margen derecha canal Sacramento, Gomez Palacio, Durango, Mexico; Cerano, J., Laboratorio de Dendrocronologia, Instituto Nacional de Investigaciones Forestales Agricolas, y Pecuarias, CENID-RESPID, Km 6.5 margen derecha canal Sacramento, Gomez Palacio, Durango, Mexico; Fye, F.K., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Griffin, R.D., Department of Geography, University of Arizona, Tucson, AZ 85721, United States; Cleaveland, M.K., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Stahle, D.K., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Edmondson, J.R., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States; Wolff, K.P., Tree-Ring Laboratory, Department of Geosciences, Ozark Hall 113, Fayetteville, AR 72701, United States","Ancient baldcypress trees found in wetland and riverine environments have been used to develop a network of exactly dated annual ring-width chronologies extending from the southeastern United States, across Mexico, and into western Guatemala. These chronologies are sensitive to growing season precipitation in spite of frequently flooded site conditions, and have been used to reconstruct moisture levels the southeastern United States and Mexico for over 1000 years. The El Nino/Southern Oscillation (ENSO) is a major influence on the climate reconstructions derived from these baldcypress chronologies, especially in Mexico where some of the most extreme reconstructed droughts occurred during El Nino events. In the Southeast, the ENSO influence on climate and tree growth changes sign from spring to summer, and this change in dynamical forcing is recorded by sub-seasonal chronologies of earlywood and latewood width. Most existing baldcypress chronologies have been extended with tree-ring data from "" subfossil"" wood recovered from surface and submerged deposits. Well-preserved subfossil logs have also been recovered in quantity from buried deposits of great age, and may permit development of long continuously dated Holocene chronologies and discontinuous "" floating"" Pleistocene chronologies. The extensive subfossil baldcypress swamp discovered 6m below the streets of Washington D.C. was overrun by a transgression of the Potomac estuary, possibly during the previous super interglacial (marine OIS 5e), and provides direct evidence for one potential impact of unmitigated anthropogenic warming and sea level rise. © 2012 Elsevier Ltd.","Baldcypress; Dendrochronology; Earlywood; ENSO; Latewood; Subfossil wood; Taxodium distichum; Taxodium mucronatum",Article,,Scopus,2-s2.0-84856610577
"Kozma J.M., Kroll A.J.","7004235274;13613000200;","Woodpecker nest survival in burned and unburned managed ponderosa pine forests of the northwestern United States",2012,"Condor","114","1",,"173","184",,13,"10.1525/cond.2012.110034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858422731&doi=10.1525%2fcond.2012.110034&partnerID=40&md5=82eb465aec7a30bed87dd568f37d02b1","Yakama Nation, Timber, Fish and Wildlife, Fisheries Resource Management, P. O. Box 151, Toppenish, WA 98948, United States; Timberlands Technology, Weyerhaeuser Company, WTC 1A5, P. O. Box 9777, Federal Way, WA 98063-9777, United States","Kozma, J.M., Yakama Nation, Timber, Fish and Wildlife, Fisheries Resource Management, P. O. Box 151, Toppenish, WA 98948, United States; Kroll, A.J., Timberlands Technology, Weyerhaeuser Company, WTC 1A5, P. O. Box 9777, Federal Way, WA 98063-9777, United States","Woodpeckers are particularly susceptible to habitat changes resulting from forest management because of their reliance on trees and snags for nesting and foraging. However, the influence of habitat variables on the reproductive success of woodpeckers has received less attention than it has in other avian taxonomic groups. We estimated nest-survival rates for the White-headed Woodpecker (Picoides albolarvatus), Hairy Woodpecker (P. villosus), and Northern Flicker (Colaptes auratus) in managed ponderosa pine (Pinus ponderosa) forests along the eastern slope of the Cascade Range in Washington, 2005-2010. Using a model-selection framework, we found that the most supported models included terms for a quadratic effect of date and habitat type for the Hairy Woodpecker, a negative effect of percent shrub cover for the White-headed Woodpecker, and a negative linear effect of date and habitat type, a negative linear effect of snag density, and a positive linear effect of tree density for the flicker. Survival rates over the entire cycle (laying + incubation + nestling stages) were 0.51 in unburned stands and 0.41 in burned stands for the Hairy Woodpecker, 0.70 for the White-headed Woodpecker, and 0.41 in unburned stands and 0.80 in burned stands for the flicker. In both habitats of our study survival rates of Hairy Woodpecker nests are lower than those reported in other studies, while those of White-headed Woodpecker nests are comparable to those reported in other areas of that species' range. © The Cooper Ornithological Society 2012.","Forest management; Hairy Woodpecker; Nest survival; Northern Flicker; Pinus ponderosa; Washington; White-headed Woodpecker",Article,,Scopus,2-s2.0-84858422731
"Burns C.A.","54979878700;","Embodiment and embedment: Integrating dance/movement therapy, body psychotherapy, and ecopsychology",2012,"Body, Movement and Dance in Psychotherapy","7","1",,"39","54",,5,"10.1080/17432979.2011.618513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856882094&doi=10.1080%2f17432979.2011.618513&partnerID=40&md5=39f317ba266a59f7fa964ea8da3e4492","Somatic Counseling Psychology, Naropa University, Boulder, CO, United States","Burns, C.A., Somatic Counseling Psychology, Naropa University, Boulder, CO, United States","This article presents a vision of an emergent ecosomatic psychology that integrates somatic psychology's theories and practices of embodiment with ecopsychology's insights about embedment. Branches within somatic psychology, dance/movement therapy, and body psychotherapy have honed therapeutic practices for embodying the self, engaging in embodied relationships, and opening up to possibilities of transpersonal experiences through the body and movement. Incorporating ecopsychology's emphasis on the development of an ecological identity, inspired by systems and relational views of health, and drawing from theories of participatory consciousness and reciprocity, an integrative framework of embodied embedment practices are proposed for developing an embodied ecological self. © 2012 Copyright Taylor and Francis Group, LLC.","body psychotherapy; dance/movement therapy; ecological self; ecopsychology; embedment; embodiment",Article,,Scopus,2-s2.0-84856882094
"Glitzenstein J.S., Streng D.R., Masters R.E., Robertson K.M., Hermann S.M.","6603289241;6508269455;7102880482;7102891420;7005887782;","Fire-frequency effects on vegetation in north Florida pinelands: Another look at the long-term Stoddard Fire Research Plots at Tall Timbers Research Station",2012,"Forest Ecology and Management","264",,,"197","209",,45,"10.1016/j.foreco.2011.10.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80755148636&doi=10.1016%2fj.foreco.2011.10.014&partnerID=40&md5=17bbef7d94e3fd474d5a1f0703ec8cd8","Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Department of Biological Sciences, Auburn University, Auburn, AL 36849, United States","Glitzenstein, J.S., Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Streng, D.R., Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Masters, R.E., Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Robertson, K.M., Tall Timbers Research Station, 13093 Henry Beadel Drive, Tallahassee, FL 32312, United States; Hermann, S.M., Department of Biological Sciences, Auburn University, Auburn, AL 36849, United States","The Stoddard Fire Plot study at Tall Timbers Research Station near Tallahassee, FL, ongoing since 1960, is one of several long-term studies of fire frequency in the southeast Coastal Plain, USA. Previous data and publications from the Stoddard Fire Plots supported a saturation model of fire frequency effects. According to this model, vascular plant species richness increases along with fire frequency but only up to a threshold determined by woody overstory competition. Beyond the threshold, further increases in fire frequency have little additional impact on species richness or understory vegetation composition. Prior analyses suggested this threshold to occur at ∼6-7. year burn intervals. In this paper we present more recent data from this same long term study that are not consistent with the "" Saturation Hypothesis"" as originally formulated. These results indicate (1) "" saturation"" of canopy (>2.0. m) cover at 3. year burn intervals rather than the predicted 6-7. years, (2) small-scale (≤1.0. m) species richness positively associated with fire frequency across a gradient of short-interval fires from 3- to 1-year, (3) statistically significant species composition (cover and abundance) shifts across this same short-interval fire frequency gradient, with greatest herbaceous dominance associated with 1- and 2-year burn treatments. Prescribed burners influenced by the earlier results might wish to consider reducing the interval between fires. © 2011 Elsevier B.V.","Fire frequency; Most-frequent fire hypothesis; Pinus echinata; Pinus taeda; Saturation hypothesis; Species richness",Article,,Scopus,2-s2.0-80755148636
