Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Rost J., Clavero M., Bas J.M., Pons P.","Building wood debris piles benefits avian seed dispersers in burned and logged Mediterranean pine forests",2010,"Forest Ecology and Management","260","1",,"79","86",,21,10.1016/j.foreco.2010.04.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953324308&doi=10.1016%2fj.foreco.2010.04.003&partnerID=40&md5=a007841dfc49104e2b43f0bec23a80ea","Departament de Ciències Ambientals, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain; Grup d'Ecologia del Paisatge, Àrea de Biodiversitat, Centre Tecnològic Forestal de Catalunya, Carretera vella Sant Llorenc Morunys, Km 2, 25280 Solsona, Catalonia, Spain","Rost, J., Departament de Ciències Ambientals, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain; Clavero, M., Departament de Ciències Ambientals, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain, Grup d'Ecologia del Paisatge, Àrea de Biodiversitat, Centre Tecnològic Forestal de Catalunya, Carretera vella Sant Llorenc Morunys, Km 2, 25280 Solsona, Catalonia, Spain; Bas, J.M., Departament de Ciències Ambientals, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain; Pons, P., Departament de Ciències Ambientals, Universitat de Girona, Campus de Montilivi, 17071 Girona, Catalonia, Spain","Salvage logging is a common practice carried out in burned forests worldwide, and intended to mitigate the economic losses caused by wildfires. Logging implies an additional disturbance occurring shortly after fire, although its ecological effects can be somewhat mitigated by leaving wood debris on site. The composition of the bird community and its capacity to provide ecosystem services such as seed dispersal of fleshy-fruited plants have been shown to be affected by postfire logging. We assessed the effects of the habitat structure resulting from different postfire management practices on the bird community, in three burned pine forests in Catalonia (western Mediterranean). For this purpose, we focused on the group of species that is responsible for seed dispersal, a process which takes place primarily during the winter in the Mediterranean basin. In addition, we assessed microhabitat selection by seed disperser birds in such environments in relation to management practices. Our results showed a significant, positive relationship between the density of wood debris piles and the abundance of seed disperser birds. Furthermore, such piles were the preferred microhabitat of these species. This reveals an important effect of forest management on seed disperser birds, which is likely to affect the dynamics of bird-dependent seed dispersal. Thus, building wood debris piles can be a useful practice for the conservation of both the species and their ecosystem services, while also being compatible with timber harvesting. © 2010 Elsevier B.V. All rights reserved.","Frugivorous birds; Pinus halepensis; Postfire management; Salvage logging; Seed dispersal; Winter bird community",Article,,Scopus,2-s2.0-77953324308
"Britton C.M., Rideout-Hanzak S., Brown S.D.","Effects of burns conducted in summer and winter on vegetation of matagorda Island, Texas",2010,"Southwestern Naturalist","55","2",,"193","202",,1,10.1894/JB-07.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954462598&doi=10.1894%2fJB-07.1&partnerID=40&md5=3f67f84395779cf35ed46a41b8fc587d","Department of Natural Resources Management, Box 42125, Texas Tech University, Lubbock, TX 79409, United States","Britton, C.M., Department of Natural Resources Management, Box 42125, Texas Tech University, Lubbock, TX 79409, United States; Rideout-Hanzak, S., Department of Natural Resources Management, Box 42125, Texas Tech University, Lubbock, TX 79409, United States; Brown, S.D., Department of Natural Resources Management, Box 42125, Texas Tech University, Lubbock, TX 79409, United States","We conducted prescribed fires on Matagorda Island, Calhoun County, Texas, in late summers (August) and early winters (January) of 1992-1993 and 1993-1994 to determine responses of vegetation and litter. There were reduced litter loads 1 year after burning, but they approached pre-burn levels 2 years after burning. There was no difference in production of grasses, forbs, or the Juncus and other-Cyperaceae complex 1 year after burning. There was a significant difference in production of Juncus and other Cyperaceae when years were compared. We presume this was caused by differences in precipitation between years. There was no difference in percentage frequency between burned and control plots 1 year after burning for most species examined. However, burning in summer significantly increased occurrences of coastal mistflower (Conoclinium betonicifolium), Fabaceae, and Cyperaceae (other than Juncus) over control plots 1 year after treatment. Beach groundcherry (Physalis cinerascens) and Fabaceae also were increased by burning in summer 2 years following treatment. Prescribed burning did not affect density of vertical structure. Because coastal barrier islands serve as important wintering grounds and stopovers for many migratory birds, we recommend conducting burns in late summer every 2-5 years to increase incidence of legumes and other forage for wildlife.",,Article,,Scopus,2-s2.0-77954462598
"Flory G.A., Peer R.W.","Verification of poultry carcass composting research through application during actual avian influenza outbreaks.",2010,"ILAR journal / National Research Council, Institute of Laboratory Animal Resources","51","2",,"149","157",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954917950&partnerID=40&md5=b8438d84f1a662afd994eb21b4ac1c41","Virginia Department of Environmental Quality, Valley Regional Office, PO Box 3000, Harrisonburg, VA 22801, USA.","Flory, G.A., Virginia Department of Environmental Quality, Valley Regional Office, PO Box 3000, Harrisonburg, VA 22801, USA.; Peer, R.W.","An avian influenza outbreak in 2002 affected 197 poultry farms in Virginia and cost an estimated $130 million in losses and cleanup. In 2004-2005, researchers initiated a project to investigate the feasibility and practicality of in-house composting of turkey mortalities (heavy hens and toms) as a method of disposal and disease containment. Occurrences of low pathogenic avian influenza (LPAI) in West Virginia and Virginia in 2007 provided an opportunity for first responders to verify composting as an effective carcass disposal method. Many lessons learned from these experiences have led to improvements in the application of this technology. Market-weight turkeys, once thought too large for effective composting, were composted sufficiently for land application within 4 to 6 weeks. Additionally, fire-fighting foam, a new method of mass depopulation, proved to be compatible with composting. Knowledge gained from these incidents will be valuable not only for future responses to LPAI but also for outbreaks of highly pathogenic avian influenza such as the H5N1 virus, which currently causes disease in both animals and humans in many parts of the world. Since three-quarters of all recent emerging infectious diseases (EIDs) have arisen from animals, control of disease in animals is the principal way to reduce human exposure and prevent EIDs. Many of the general approaches and specific techniques used to eradicate the avian influenza virus can also be used to control other EIDs such as H1N1, Nipah virus, Rift Valley Fever, and plague.",,Article,,Scopus,2-s2.0-77954917950
"Martin J.A., Palmer W.E., Grimes D.P., Carroll J.P.","Mortality of adult colinus virginianus L. (Northern Bobwhite) from prescribed fire",2010,"Southeastern Naturalist","9","1",,"181","183",,,10.1656/058.009.0116,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950260442&doi=10.1656%2f058.009.0116&partnerID=40&md5=3cd23dc75214e0e84651a3bbd82abd61","Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30601, United States; Tall Timbers Research Station and Land Conservancy Inc, Tallahassee, FL 32312, United States","Martin, J.A., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30601, United States; Palmer, W.E., Tall Timbers Research Station and Land Conservancy Inc, Tallahassee, FL 32312, United States; Grimes, D.P., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30601, United States; Carroll, J.P., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30601, United States","Colinus virginianus (Northern Bobwhite) respond favorably to frequent disturbances in most physiographic regions of their population distribution. These disturbances maintain the vegetative composition and structure needed for survival and reproduction. Prescribed fire is an important habitat management tool if used according to proper prescriptions and objectives. However, under certain conditions, prescribed fire may have deleterious effects on populations and individuals. We describe a single observation of an individual Bobwhite killed by a prescribed fire event. To our knowledge, this is the first observation of its kind in the scientific literature. We believe this occurrence is uncommon under most conditions while conducting prescribed fires, However, managers should consider the fuel conditions, weather variables, and scale of fire before conducting prescribed fires for Bobwhite habitat enhancement. Based on this observation, other upland birds may be susceptible to direct mortality from prescribed fire events.",,Article,,Scopus,2-s2.0-77950260442
"Klug P.E., Jackrel S.L., With K.A.","Linking snake habitat use to nest predation risk in grassland birds: The dangers of shrub cover",2010,"Oecologia","162","3",,"803","813",,45,10.1007/s00442-009-1549-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949268938&doi=10.1007%2fs00442-009-1549-9&partnerID=40&md5=4949e744e1784a2a1d07bcbb746e6291","Laboratory for Landscape and Conservation Ecology, Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS 66506-4901, United States; Department of Biology, The College of New Jersey, Ewing, NJ 08628, United States","Klug, P.E., Laboratory for Landscape and Conservation Ecology, Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS 66506-4901, United States; Jackrel, S.L., Department of Biology, The College of New Jersey, Ewing, NJ 08628, United States; With, K.A., Laboratory for Landscape and Conservation Ecology, Division of Biology, Kansas State University, 116 Ackert Hall, Manhattan, KS 66506-4901, United States","Extremes in rangeland management, varying from too-frequent fire and intensive grazing to the suppression of both, threaten rangeland ecosystems worldwide. Intensive fire and grazing denude and homogenize vegetation whereas their suppression increases woody cover. Although habitat loss is implicated in grassland bird declines, degradation through intensive management or neglect also decreases breeding habitat and may reduce nesting success through increased rates of nest predation. Snakes are important nest predators, but little is known about how habitat use in snakes relates to predation risk for grassland birds nesting within tallgrass prairie subjected to different grazing and fire frequencies. We evaluated nest survival in the context of habitat used by nesting songbirds and two bird-eating snakes, the eastern yellowbelly racer Coluber constrictor flaviventris and Great Plains ratsnake Pantherophis emoryi. Daily nest survival rates decreased with increasing shrub cover and decreasing vegetation height, which characterize grasslands that have been neglected or intensively managed, respectively. Discriminant function analysis revealed that snake habitats were characterized by higher shrub cover, whereas successful nests were more likely to occur in areas with tall grass and forbs but reduced shrub cover. Because snakes often use shrub habitat, birds nesting in areas with increased shrub cover may be at higher risk of nest predation by snakes in addition to other predators known to use shrub habitat (e. g., mid-sized carnivores and avian predators). Depredated nests also occurred outside the discriminant space of the snakes, indicating that other predators (e. g., ground squirrels Spermophilus spp. and bullsnakes Pituophis catenifer) may be important in areas with denuded cover. Targeted removal of shrubs may increase nest success by minimizing the activity of nest predators attracted to shrub cover. © Springer-Verlag 2010.","Fire; Grazing; Nest success; Predator-prey relationships; Tallgrass prairie",Article,,Scopus,2-s2.0-77949268938
"Conner L.M., Rutledge J.C., Smith L.L.","Effects of mesopredators on nest survival of shrub-nesting songbirds",2010,"Journal of Wildlife Management","74","1",,"73","80",,31,10.2193/2008-406,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73449138730&doi=10.2193%2f2008-406&partnerID=40&md5=01f53789777f1f61e41624589c0321f9","Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States","Conner, L.M., Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States; Rutledge, J.C., Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States; Smith, L.L., Joseph W. Jones Ecological Research Center, 3988 Jones Center Drive, Newton, GA 39870, United States","Although nest predation is often the single largest source of mortality in avian populations, manipulative studies to determine predator impacts on nest survival are rare, particularly studies that examine impacts of mid-size mammalian predators (hereafter, mesopredators) on nest survival of shrub-nesting birds. We quantified nest survival and identified nest predators of shrub-nesting songbirds within 4 large (approx. 40-ha) exclosures and 4 control sites within a longleaf pine (Pinus palustris) ecosystem. During 2003-2006, we located and monitored 535 shrub nests (222 with videography) for 4,804 nest-days to quantify daily nest survival and document predation events. We found no support for a treatment effect, suggesting mesopredators had little impact on daily nest survival (0.9303 in controls and 0.9260 in exclosures) of shrub-nesting songbirds. For the 5 most commonly monitored species, daily nest survival within species was constant. Our analysis suggested that shrub nests were most vulnerable during the nestling stage and presence of cameras on nests increased survival with the increase in survival being more pronounced during the incubation stage. We filmed 107 nest predation events, identifying predators at 88 nests. Of these 88 nests, snakes caused 33%, red imported fire ants (hereafter fire ants, Solenopsis invicta) 28%, raptors 17%, corvids 8%, mesopredators 6%, and small mammals 8% of nest predations. Cause-specific nest predation in controls and exclosures did not differ from expectation, providing evidence that compensatory predation did not occur. Nest predators differed from expectation with regard to nest stage; fire ants and raptors only depredated nests during the nestling stage. Presence of cameras had no effect on nest abandonment. Fire ants were the most prevalent nest predator, and nest predation by fire ants was only observed on nestlings, potentially reducing likelihood of renesting. Magnitude and timing of fire ant predation suggests that fire ants may be the most influential nest predator of shrub-nesting birds within the longleaf pine ecosystem. Our data suggest that controlling mesopredators will have no effect on nest success of shrub-nesting birds within longleaf pine forests. © 2010 The Wildlife Society.","Avian productivity; Longleaf pine ecosystem; Mesomammal; Nest success; Pinus palustris; Predator control; Predator exclosure; Red imported fire ant; Shrub-nesting bird; Solenopsis invicta",Article,,Scopus,2-s2.0-73449138730
"Nakamura M., Takaki Y., Mori S., Ueda K., Nishiumi I., Takagi M., Noske R.A., Eguchi K.","Impacts of fire on the group composition of the red-backed fairy-wren malurus melanocephalus cruentatus in the non-breeding season",2010,"Journal of the Yamashina Institute for Ornithology","42","1",,"47","64",,2,10.3312/jyio.42.47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952851946&doi=10.3312%2fjyio.42.47&partnerID=40&md5=d0d80aedc67e442b42a426b74c93a97d","Department of Biology, Faculty of Science, Kyushu University, Fukuoka 812-8581, Japan; Laboratory of Biodiversity Science, School of Agriculture and Life Science, University of Tokyo, Tokyo 113-8657, Japan; Laboratory of Animal Ecology, Faculty of Science, Rikkyo University, Tokyo 171-8501, Japan; Department of Zoology, National Museum of Nature and Science, Tokyo 169-0073, Japan; Division of Biology and Geosciences, Graduate School of Science, Osaka City University, Osaka 558-8585, Japan; School of Environmental and Life Sciences, Charles Darwin University, Darwin, NT 0909, Australia","Nakamura, M., Department of Biology, Faculty of Science, Kyushu University, Fukuoka 812-8581, Japan; Takaki, Y., Department of Biology, Faculty of Science, Kyushu University, Fukuoka 812-8581, Japan; Mori, S., Laboratory of Biodiversity Science, School of Agriculture and Life Science, University of Tokyo, Tokyo 113-8657, Japan; Ueda, K., Laboratory of Animal Ecology, Faculty of Science, Rikkyo University, Tokyo 171-8501, Japan; Nishiumi, I., Department of Zoology, National Museum of Nature and Science, Tokyo 169-0073, Japan; Takagi, M., Division of Biology and Geosciences, Graduate School of Science, Osaka City University, Osaka 558-8585, Japan; Noske, R.A., School of Environmental and Life Sciences, Charles Darwin University, Darwin, NT 0909, Australia; Eguchi, K., Department of Biology, Faculty of Science, Kyushu University, Fukuoka 812-8581, Japan","We conducted a study to clarify the impact of bush fires on the structure of non-breeding flocks of the Red-backed Fairy-wren Malurus melanocephalus cruentatus in the Australian monsoon tropics. Overall, the mean group size was large in the mid dry season, becoming smaller with the progress of season. Large groups occurred at burnt sites, while at unburnt sites group size was smaller owing to a higher proportion of pair-sized groups. Bush fire destroyed habitat and forced resident birds to emigrate. Conversely, unburnt sites were used as a refuge during fires. However, in the non-breeding season, such stable habitats were occupied by stable and small-sized groups and were already saturated. Therefore, individuals that immigrated into these habitats during fires were forced to emigrate again. After a fire, many birds invaded burnt sites from the surrounding area and aggregated in large but unstable flocks that consequently diminished due to the individual separation of young males just before the breeding season. Bush fires resulted in the reorganisation of groups and re-establishment of territory. © Yamashina Institute for Ornithology.","Fire; Group composition; Malurus melanocephalus; Non-breeding season; Red-backed fairy-wren",Article,,Scopus,2-s2.0-79952851946
"Eguchi K.","Life-history of birds in australian monsoon tropics",2010,"Journal of the Yamashina Institute for Ornithology","42","1",,"1","18",,,10.3312/jyio.42.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952935726&doi=10.3312%2fjyio.42.1&partnerID=40&md5=9737af637dc841f79b226e2f97a2568e","Department of Biology, Faculty of Sciences, Kyushu University, Fukuoka 812-8581, Japan","Eguchi, K., Department of Biology, Faculty of Sciences, Kyushu University, Fukuoka 812-8581, Japan","I reviewed researches addressing avian life history evolution in the tropics, with special reference to the latest knowledge collected in Australian monsoon tropics. In the tropics, a large body of empirical data and comparative studies in which phylogeny and ecological conditions such as nesting habitat were controlled, have demonstrated that clutch size is smaller and survival of adult birds is higher than in north temperate areas. However, no such significant differences have been detected in the nest predation rate, incubation period, fledging period, number of broods per season. Insuffcient data exists regarding the provisioning rate, food size and total amount of foods for chicks. In Australian monsoon tropics, which are characterized by a small seasonal change in temperature and by the distinct alteration of six-month dry season and wet season, the seasonal variation of food abundance, mainly invertebrates and nectar, is smaller than in northern temperate areas. Although breeding occurs in every month throughout avian communities, there are diverged patterns of breeding seasons among species. Most life history traits show a similar tendency to those of birds in other tropical areas. Low adult mortality and low population turnover cause the delayed first breeding in young and delayed natal dispersal, which is a causal factor for the cooperative breeding system that prevails among Australian bird species. Frequent wildfires adversely influence the breeding of grass-nesting species. In contrast, some adaptation to fires is evident, e.g., enhanced reproductive success by virtue of new food resources and foraging habitats created by fires or behaviours in lessening the damage of fires. © Yamashina Institute for Ornithology.","Clutch sizeLife; History; Monsoon tropics; Protracted breeding season; Savannah",Review,,Scopus,2-s2.0-79952935726
"Ford H.A., Walters J.R., Cooper C.B., Debus S.J.S., Doerr V.A.J.","Extinction debt or habitat change? - Ongoing losses of woodland birds in north-eastern New South Wales, Australia",2009,"Biological Conservation","142","12",,"3182","3190",,69,10.1016/j.biocon.2009.08.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350571797&doi=10.1016%2fj.biocon.2009.08.022&partnerID=40&md5=eedd997bda17fb19ceb28ad9776c70b8","Behavioural and Physiological Ecology Research Centre, Zoology, University of New England, Armidale, NSW 2351, Australia; Department of Biology, Virginia Polytechnic Institute, State University, Blacksburg, VA 24061, United States; Cornell Laboratory of Ornithology, 159 Sapsucker Woods Road, Ithaca, NY 14850, United States; CSIRO Sustainable Ecosystems, GPO Box 284, Canberra, ACT 2601, Australia","Ford, H.A., Behavioural and Physiological Ecology Research Centre, Zoology, University of New England, Armidale, NSW 2351, Australia; Walters, J.R., Department of Biology, Virginia Polytechnic Institute, State University, Blacksburg, VA 24061, United States; Cooper, C.B., Cornell Laboratory of Ornithology, 159 Sapsucker Woods Road, Ithaca, NY 14850, United States; Debus, S.J.S., Behavioural and Physiological Ecology Research Centre, Zoology, University of New England, Armidale, NSW 2351, Australia; Doerr, V.A.J., CSIRO Sustainable Ecosystems, GPO Box 284, Canberra, ACT 2601, Australia","The loss, fragmentation and degradation of native vegetation are major causes of loss of biodiversity globally. Extinction debt is the term used to describe the ongoing loss of species from fragmented landscapes long after the original loss and fragmentation of habitat. However, losses may also result from habitat changes that are unrelated to fragmentation, which reduce breeding success and recruitment. Many woodland birds have declined in fragmented landscapes in Australia, probably due to loss of small, isolated populations, though the ecological processes are poorly understood. We record the progressive regional loss of two ground-foraging, woodland birds, the Brown Treecreeper Climacteris picumnus and Hooded Robin Melanodryas cucullata, in northern New South Wales, over 30 years. This has happened despite most habitat loss occurring over 100 years ago, suggesting the payment of an extinction debt. Our observations suggest that several ecological processes, caused by habitat loss, fragmentation or degradation, and operating over different time scales, have led to both species' declines. Female Brown Treecreepers disperse poorly among vegetation remnants, leaving only males in isolated populations, which then go extinct. In contrast, Hooded Robins suffer high nest predation in fragmented landscapes, producing too few recruits to replace adult mortality. Foraging by both species may also be affected by regrowth of ground vegetation and shrubs. We found little support for a major role played by drought, climate change or aggressive Noisy Miners Manorina melanocephala. We propose that both extinction debt in the classical sense and ongoing habitat change frequently contribute to species' decline in modified landscapes. Management to arrest and reverse such declines needs to consider these multiple causes of decline. For instance, reconnecting isolated populations may be inadequate alone, and activities such as appropriate grazing, fires and the addition of woody debris may also be required. © 2009 Elsevier Ltd.","Brown Treecreeper Hooded Robin; Dispersal; Eucalypt woodland; Habitat change; Habitat fragmentation",Article,,Scopus,2-s2.0-70350571797
"Nappi A., Drapeau P.","Reproductive success of the black-backed woodpecker (Picoides arcticus) in burned boreal forests: Are burns source habitats?",2009,"Biological Conservation","142","7",,"1381","1391",,59,10.1016/j.biocon.2009.01.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349284072&doi=10.1016%2fj.biocon.2009.01.022&partnerID=40&md5=2375007dd7ff2effe463a0b9460f7171","Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, Que. H3C 3P8, Canada","Nappi, A., Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, Que. H3C 3P8, Canada; Drapeau, P., Centre for Forest Research, Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, Succ. Centre-ville, Montréal, Que. H3C 3P8, Canada","The black-backed woodpecker (Picoides arcticus) is considered a fire specialist throughout its breeding range. Given its high abundance in recent burns, it has been hypothesized that post-fire forests are source habitats for this species. We conducted a 3-year post-fire study to evaluate the temporal occupancy and reproductive success of black-backed woodpeckers in high-severity burned black spruce forests of central Quebec, Canada. We examined how reproductive success varied temporally and spatially within a burned landscape and investigated the potential source or sink status of this woodpecker population over time. Woodpecker nest density was high in the year after fire but declined significantly over the 3-year period. Based on 106 nests, nest success declined from 84% the first year after fire to 73% and 25%, respectively, for the second and third years after fire. Nest density and reproductive success were higher in areas with high proportions of burned mature forests than in areas dominated by burned young forests. Reproductive success was also higher in proximity to unburned forests. Comparison of annual productivity with a range of survival estimates indicated that these burned forests likely functioned as source habitats for the first 2 years following fire, although this status varied as a function of pre-fire forest age. Our results suggest that post-fire forests may contribute significantly to population levels in fire-prone ecosystems. Forest management practices that reduce the amount of mature and over-mature forests can affect the quality of post-fire habitats important to the black-backed woodpecker and other fire-associated species. © 2009 Elsevier Ltd. All rights reserved.","Birds; Dead wood; Fire; Nest success; Picidae; Source-sink",Article,,Scopus,2-s2.0-67349284072
"Spottiswoode C.N., Wondafrash M., Gabremichael M.N., Abebe Y.D., Mwangi M.A.K., Collar N.J., Dolman P.M.","Rangeland degradation is poised to cause Africa's first recorded avian extinction",2009,"Animal Conservation","12","3",,"249","257",,20,10.1111/j.1469-1795.2009.00246.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65649113607&doi=10.1111%2fj.1469-1795.2009.00246.x&partnerID=40&md5=131cdf2ef20686c459afad1ea9dfa3e2","Department of Zoology, University of Cambridge, Downing Street, Cambridge CB2 3EJ, United Kingdom; Ethiopian Wildlife and Natural History Society, Addis Ababa, Ethiopia; Atsede W Mariam, UNICEF, Addis Ababa, Ethiopia; P.O. Box 18112, Addis Ababa, Ethiopia; BirdLife International, Wellbrook Court, Cambridge, United Kingdom; School of Environmental Sciences, University of East Anglia, Norwich, United Kingdom","Spottiswoode, C.N., Department of Zoology, University of Cambridge, Downing Street, Cambridge CB2 3EJ, United Kingdom; Wondafrash, M., Ethiopian Wildlife and Natural History Society, Addis Ababa, Ethiopia; Gabremichael, M.N., Atsede W Mariam, UNICEF, Addis Ababa, Ethiopia; Abebe, Y.D., P.O. Box 18112, Addis Ababa, Ethiopia; Mwangi, M.A.K., BirdLife International, Wellbrook Court, Cambridge, United Kingdom; Collar, N.J., BirdLife International, Wellbrook Court, Cambridge, United Kingdom; Dolman, P.M., School of Environmental Sciences, University of East Anglia, Norwich, United Kingdom","Rangeland degradation by livestock threatens several restricted-range species, but is largely overlooked by conservation biologists. The Sidamo lark Heteromirafra sidamoensis, confined to the Liben Plain grassland in southern Ethiopia, is critically endangered by bush encroachment, permanent settlement and agricultural conversion. Its global range was previously estimated at 760 km2, but in 2007-2008 available habitat covered&lt;35 km2. Density estimates from multi-model inference analysis of distance transect data provided a global population estimate of 90-256 adults (possibly with a serious sex-ratio bias towards males). Logistic regression models of habitat selection showed that males preferentially occurred in areas of grassland with greater cover of medium-length grass (5-15 cm), less cover of bare ground and fewer bushes. Habitat transects extending outward from its core range revealed massive and rapid bush encroachment, corroborating information from semi-structured interviews. The survival of both local Borana pastoralism and this species -mainland Africa's likeliest first avian extinction -depends on restoring seasonal patterns of grazing, resisting agricultural conversion of grasslands, reversing fire suppression policies and clearing bush. © Journal compilation © 2009 The Zoological Society of London.","Borana; Bush encroachment; Ethiopia; Fire suppression; Heteromirafra sidamoensis; Liben plain; Multi-model inference; Pastoralism; Savanna; Sidamo lark; Transhumance",Article,,Scopus,2-s2.0-65649113607
"Chapman D.S., Termansen M., Quinn C.H., Jin N., Bonn A., Cornell S.J., Fraser E.D.G., Hubacek K., Kunin W.E., Reed M.S.","Modelling the coupled dynamics of moorland management and upland vegetation",2009,"Journal of Applied Ecology","46","2",,"278","288",,21,10.1111/j.1365-2664.2009.01618.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61449175918&doi=10.1111%2fj.1365-2664.2009.01618.x&partnerID=40&md5=fb2ddace464bfe06be6264e0bffdc75e","Faculty of Biological Sciences, University of Leeds, Leeds LS2 9JT, United Kingdom; School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom; School of Geography, University of Leeds, Leeds LS2 9JT, United Kingdom; Centre for Ecology and Hydrology, Bush Estate, Edinburgh EH26 0QB, United Kingdom; Moors for the Future Partnership, Peak District National Park, Moorland Centre, Edale, Derbyshire, S33 7ZA, United Kingdom; Aberdeen Centre for Environmental Sustainability, School of Geosciences, University of Aberdeen, St Mary's, Aberdeen AB24 3UF, United Kingdom","Chapman, D.S., Faculty of Biological Sciences, University of Leeds, Leeds LS2 9JT, United Kingdom, Centre for Ecology and Hydrology, Bush Estate, Edinburgh EH26 0QB, United Kingdom; Termansen, M., School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom; Quinn, C.H., School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom; Jin, N., School of Geography, University of Leeds, Leeds LS2 9JT, United Kingdom; Bonn, A., Moors for the Future Partnership, Peak District National Park, Moorland Centre, Edale, Derbyshire, S33 7ZA, United Kingdom; Cornell, S.J., Faculty of Biological Sciences, University of Leeds, Leeds LS2 9JT, United Kingdom; Fraser, E.D.G., School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom; Hubacek, K., School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom; Kunin, W.E., Faculty of Biological Sciences, University of Leeds, Leeds LS2 9JT, United Kingdom; Reed, M.S., School of Earth and Environment, University of Leeds, Leeds LS2 9JT, United Kingdom, Aberdeen Centre for Environmental Sustainability, School of Geosciences, University of Aberdeen, St Mary's, Aberdeen AB24 3UF, United Kingdom","1. It is widely appreciated that management shapes the dynamics of many ecological systems, but ecologists rarely consider the reverse interaction, that is, the ecological influences on management decisions. Reciprocal feedback between management and ecology can cause complex system behaviour. Therefore, better predictions about how external policy-drivers or climate change will affect semi-natural ecosystems may be made when both the ecological and human dimensions are considered. 2. We develop a spatially-explicit model of moorland vegetation dynamics and management decisions about sheep grazing and heather burning in the Peak District National Park, UK. Competition between dwarf shrubs, bracken and graminoids is mediated by grazing, dwarf shrub age (determined by burning rotation) and environmental gradients. Management decisions depend on vegetation cover in a model parameterized through interviews with upland managers. 3. Current management regimes are designed to reverse historical dwarf shrub losses, and simulations suggest that this reversal should occur in the future. After equilibration, grazing densities fall and dwarf shrubs have expanded from their current distribution, mainly at the expense of graminoids. This causes more land to come under managed burning, but current intensities are maintained. 4. Enforcing winter or summer grazing densities influences model vegetation cover and causes other aspects of the management strategy to adapt. For example, when summer grazing is banned, dwarf shrub cover increases and there is a shift towards grouse moor management. 5. Simulations with warmer temperatures indicate that climate change may increase bracken invasion of the moorland and prevent re-vegetation of bare peat. This is associated with a reduction in managed burning that causes the dwarf shrub community to become dominated by the older, degenerate growth phase. 6. Synthesis and applications. Our model suggests that current management paradigms could achieve their aim of restoring historically degraded moorland over the coming century, but that climate change may prevent this from occurring. One application of the model would be to try to design management paradigms that are robust to this. As such, models of coupled human-natural systems can provide a valuable tool for assessing the impacts of policy decisions and climate change on semi-natural ecosystems at landscape scales. © 2009 British Ecological Society.","Calluna vulgaris; Heathland; Landscape ecology; Molinia caerulea; Pteridium aquilinum; Red grouse",Article,,Scopus,2-s2.0-61449175918
